num_etudiant;2016/2017;2017/2018;2018/2019;2019/2020;2020/2021;last_annee_validee;last_diplome_valide;moyenne
21601436;Hors;L2 Maths - S1;L3 MAPI3 - S1;M1 MAPI3 - S1;Hors;2019/2020;M1;12.67
21600345;Hors;L2 Maths - S1;L3 MAPI3 - S1;M1 MAPI3 - S1;Hors;2019/2020;M1;13.13
21706229;Hors;L3 MAPI3 - S2;L3 MAPI3 - S2;L3 MAPI3 - S2;Hors;2019/2020;L3;10.83
21503955;L2 Maths - S2;L2 Maths - S1;L3 MAPI3 - S1;M1 MAPI3 - S2;Hors;2018/2019;L3;10.2
21801492;Hors;Hors;L3 MAPI3 - S2;L3 MAPI3 - S2;Hors;None;None;None
21811654;Hors;Hors;L3 MAPI3 - S2;Hors;Hors;None;None;7.64
21810530;Hors;Hors;L3 MAPI3 - S1;M1 MAPI3 - S1;Hors;2019/2020;M1;11.46
21507573;L2 Maths - S2;L2 Maths - S2;L3 MAPI3 - S1;M1 MAPI3 - S2;Hors;2018/2019;L3;9.41
21503463;L2 Maths - S2;L2 Maths - S1;L3 MAPI3 - S1;M1 MAPI3 - S1;Hors;2019/2020;M1;13.79
21108754;Hors;L2 Maths - S2;L3 MAPI3 - S2;M1 MAPI3 - S2;Hors;2018/2019;L3;9.93
21506342;L2 CUPGE - S2;L2 Maths - S2;L3 MAPI3 - S1;M1 MAPI3 - S2;Hors;2019/2020;M1;10.64
21605561;Hors;L2 Maths - S2;L3 MAPI3 - S1;M1 MAPI3 - S1;Hors;2019/2020;M1;11.5
21606210;Hors;L2 Maths - S2;L3 MAPI3 - S1;M1 MAPI3 - S1;Hors;2019/2020;M1;10.53
21808512;Hors;Hors;L3 MAPI3 - S1;Hors;Hors;2018/2019;L3;12.12
21607836;Hors;L2 Maths - S2;L3 MAPI3 - S2;Hors;Hors;2018/2019;L2;9.42
21601672;Hors;L2 Maths - S1;L3 MAPI3 - S1;M1 MAPI3 - S2;Hors;2018/2019;L3;11.29
21608128;Hors;L2 Maths - S1;L3 MAPI3 - S2;L3 MAPI3 - S1;Hors;2019/2020;L3;8.62
21815534;Hors;Hors;L3 MAPI3 - S2;M1 MAPI3 - S2;Hors;2019/2020;M1;10.2
21503235;Hors;L2 Maths - S1;L3 MAPI3 - S1;M1 MAPI3 - S1;Hors;2019/2020;M1;12.94
21505616;Hors;Hors;L3 MAPI3 - S1;M1 MAPI3 - S1;Hors;2019/2020;M1;13.31
21505161;L2 Maths - S2;L2 Maths - S1;L3 MAPI3 - S1;M1 MAPI3 - S1;Hors;2019/2020;M1;10.19
21506241;L2 Maths - S1;L3 MAPI3 - S2;L3 MAPI3 - S1;M1 MAPI3 - S1;Hors;2019/2020;M1;15.96
21504664;L2 Maths - S2;L2 Maths - S1;L3 MAPI3 - S1;M1 MAPI3 - S1;Hors;2019/2020;M1;11.5
21606581;L2 Maths - S2;L3 MAPI3 - S2;L3 MAPI3 - S1;M1 MAPI3 - S2;Hors;2019/2020;M1;10.14
21606714;Hors;L2 Maths - S1;L3 MAPI3 - S1;M1 MAPI3 - S1;Hors;2019/2020;M1;11.27
21708428;Hors;L3 MAPI3 - S2;L3 MAPI3 - S2;L3 MAPI3 - S2;Hors;None;None;None
21605360;Hors;Hors;L3 MAPI3 - S1;M1 MAPI3 - S1;Hors;2019/2020;M1;12.2
21604016;Hors;L2 Maths - S1;L3 MAPI3 - S1;M1 MAPI3 - S1;Hors;2019/2020;M1;11.9
